Reference,Value,Datasheet,Footprint,Qty,DNP
J1,Power,,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,1,
"J2,J4",Digital/PWM,,"Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",2,
J3,Analog,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,1,
"R1,R2,R3",220Ω,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,
R4,10k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
R5,1k,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,
U1,LM35-LP,http://www.ti.com/lit/ds/symlink/lm35.pdf,Package_TO_SOT_THT:TO-92_Inline_Horizontal1,1,
D1,RED,~,LED_THT:LED_D3.0mm_Clear,1,
D2,YELLOW,~,LED_THT:LED_D3.0mm_Clear,1,
D3,GREEN,~,LED_THT:LED_D3.0mm_Clear,1,
D4,D,~,Diode_THT:D_A-405_P7.62mm_Horizontal,1,
M1,Motor_DC,~,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Horizontal,1,
Q1,Q_NMOS,~,Package_TO_SOT_THT:TO-92_Inline_Horizontal1,1,
